x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,value,Timestamp
1,0,2,1,3,0,2,2,3,1,2,3,-0.5400662794919301,2698
2,3,1,2,3,0,2,0,2,0,2,0,-0.3432756960064599,2718
3,0,1,2,3,3,3,3,0,2,1,1,-0.7368568629774003,2743
0,0,3,3,0,2,3,0,3,0,2,2,-0.2725376295498442,2760
3,2,2,1,0,1,2,0,3,3,2,1,-0.5400662794919301,2786
1,2,3,1,1,1,2,0,0,0,2,3,-0.7368568629774003,2809
0,0,1,3,3,1,2,0,2,2,0,0,-0.7368568629774003,2828
3,3,1,3,2,0,3,0,0,3,3,2,-0.5400662794919301,2851
1,2,3,3,0,0,1,3,0,3,0,1,-0.5400662794919301,2871
2,1,2,0,0,2,3,0,0,2,3,1,-0.27253762954984406,2889
1,2,3,0,1,0,1,3,3,1,2,1,-0.5400662794919301,2916
1,3,0,3,2,2,2,1,1,2,1,2,-0.5400662794919301,2941
0,1,3,2,0,3,1,0,3,0,3,2,-0.807594929434016,2963
3,0,0,2,1,2,0,1,3,0,2,1,-0.5400662794919301,2984
0,0,2,2,3,3,1,0,0,0,3,0,-0.3432756960064599,3003
3,2,1,0,0,3,0,2,2,3,1,3,-0.5490812095500964,3026
2,0,0,0,0,1,1,2,1,0,2,3,-0.5400662794919301,3045
3,0,2,3,1,1,0,0,1,0,2,1,-0.5490812095500964,3068
2,2,0,1,2,1,3,3,3,3,0,3,-0.7368568629774003,3093
2,3,0,3,2,1,0,2,2,0,3,2,-0.27253762954984406,3114
0,0,3,3,0,3,1,2,1,1,2,3,-0.807594929434016,3136
1,1,0,2,3,0,1,3,2,2,2,0,-0.8075949294340162,3160
0,2,2,1,2,2,0,0,1,2,1,3,-0.807594929434016,3179
1,2,2,0,1,1,3,2,3,3,0,0,-0.5400662794919301,3206
0,1,1,0,2,0,0,0,3,0,3,0,-0.5400662794919301,3223
0,2,2,3,2,3,1,0,0,1,3,0,-0.5490812095500964,3243
2,2,3,0,1,0,1,3,2,2,0,1,-0.7278419329192339,3262
1,1,3,1,0,1,1,1,3,2,1,1,-0.7278419329192339,3289
1,0,1,2,1,0,1,0,1,2,0,0,-0.8075949294340162,3309
0,2,3,0,3,2,2,0,1,2,0,2,-0.5400662794919301,3330
3,0,1,0,2,2,2,2,1,0,3,3,-0.807594929434016,3351
